"pid";"nome_processo";"data_hora";"uso_cpu";"uso_memoria";"memoria_virtual";"status_abertura";"gravacao_disco";"temp_execucao";"fk_maquinaP";"fk_empresaP"
10276;"svchost.exe";"2023-12-05 13:54:36";"0.0";0.02591706147644787;96231424.0;0;"10112059904";0.0;1;1
10340;"svchost.exe";"2023-12-05 14:22:07";"0.0";0.00863902049214929;71065600.0;1;"10692416000";0.0;1;1
10380;"msedge.exe";"2023-12-05 14:22:09";"0.0";0.0059884119320580305;159510528.0;1;"10692416000";0.0;1;1
10400;"smartscreen.exe";"2023-12-05 14:00:35";"0.0";0.0;0.0;0;"10281388032";0.0;1;1
10416;"Cortana.exe";"2023-12-05 14:06:18";"0.005830340577434605";0.0003926827496431496;915726336.0;1;"10404907008";0.0;1;1
10684;"msedge.exe";"2023-12-05 14:06:20";"0.0";0.0;0.0;0;"10404907008";0.0;1;1
10744;"RuntimeBroker.exe";"2023-12-05 14:06:22";"0.0";0.0;0.0;0;"10404907008";0.0;1;1
10776;"";"2023-12-05 00:00:00";"26.5913843580092";1.2492219973022696;3973058560.0;0;"";0.0;1;1
10780;"";"2023-12-05 00:00:00";"0.004463156641920943";0.014382005705680352;76083200.0;1;"";0.0;1;1
10788;"SecurityHealthSystray.exe";"2023-12-05 14:06:24";"0.0002490455329947974";0.008049996367684565;108945408.0;1;"10404907008";0.0;1;1
10820;"SecurityHealthService.exe";"2023-12-05 14:06:26";"0.004142469401554298";0.025671634757920902;109084672.0;1;"10404907008";0.0;1;1
10860;"java.exe";"2023-12-05 14:06:27";"0.1";0.0;0.0;0;"10404907008";0.0;1;1
10912;"msedge.exe";"2023-12-05 14:06:29";"0.0012872593053483714";0.030236571722522514;800575488.0;1;"10404907008";0.0;1;1
10916;"WavesSvc64.exe";"2023-12-05 14:06:31";"0.013615253201369429";0.030531083784754876;202977280.0;1;"10404907008";0.0;1;1
10980;"chrome.exe";"2023-12-05 14:06:32";"0.6757125944813769";0.878725823013958;61808640.0;1;"10404907008";0.0;1;1
11020;"uhssvc.exe";"2023-12-05 14:06:34";"0.0005105401431018912";0.0036323154341991334;66871296.0;1;"10404907008";0.0;1;1
11132;"RtkAudUService64.exe";"2023-12-05 14:06:36";"0.0006532488227310908";0.008737191179560077;135651328.0;1;"10404907008";0.0;1;1
11260;"RuntimeBroker.exe";"2023-12-05 14:06:37";"0.0";0.0;0.0;0;"10404907008";0.0;1;1
11268;"svchost.exe";"2023-12-05 14:06:39";"0.0038107242574583933";0.016689016859833854;158937088.0;1;"10404907008";0.0;1;1
11336;"";"2023-12-05 00:00:00";"0.046572280178837556";0.07156643112246401;103432192.0;0;"";0.0;1;1
